Input_Name,Selected_Name,Rank,Score,URL,Timestamp
"Das Pop","Das Pop",1,1.00,"/artist/6HvBsTSctQ8SGUzzfnMPcV","2026-05-05 08:30:31"
"David Arnold","David Arnold",1,1.00,"/artist/0mCdmt2O8dd8jJWv7m24EE","2026-05-05 08:30:42"
"David Helbock","David Helbock",1,1.00,"/artist/0vL5aeUgB40QfmprJKhpOq","2026-05-05 08:30:54"
"Deep Sea Arcade","Deep Sea Arcade",1,1.00,"/artist/5fBnEhIZ8lVR8PDpwi7Qcn","2026-05-05 08:31:05"
"Dida Pelled","Dida Pelled",1,1.00,"/artist/0glvBhmWig9yQPSojyqhxe","2026-05-05 08:31:15"
"Die Höchste Eisenbahn","Die Höchste Eisenbahn",1,1.00,"/artist/2NnrINoqFoPEteJ6m1TR72","2026-05-05 08:31:24"
"Digitalism","Digitalism",1,1.00,"/artist/2fBURuq7FrlH6z5F92mpOl","2026-05-05 08:31:36"
"Dinah Washington","Dinah Washington",1,1.00,"/artist/32LHRiof0sa4taYew9i3Fa","2026-05-05 08:31:47"
"Dirty Nice","Dirty Nice",1,1.00,"/artist/4MGA6AM4iZ2HYc6b77og9g","2026-05-05 08:31:59"
"Disappeared Completely","Disappeared Completely",1,1.00,"/artist/4R5wiVl9fXPuS71ws235Ch","2026-05-05 08:32:09"
"Diva Faune","Diva Faune",1,1.00,"/artist/39l75cUNbVMpHgykQLyOUT","2026-05-05 08:32:20"
"DJ Cam","DJ Cam",1,1.00,"/artist/1hwAhXzyuEUjug2pyNVSvg","2026-05-05 08:32:32"
"DJ Vadim","DJ Vadim",1,1.00,"/artist/4vwzEW1kPK1BlgSBGrRyqZ","2026-05-05 08:32:42"
"Djo","Djo",1,1.00,"/artist/5p9HO3XC5P3BLxJs5Mtrhm","2026-05-05 08:32:54"
"Donato Renzetti","Donato Renzetti",1,1.00,"/artist/083TwueC0X5jaYvaYVuhHx","2026-05-05 08:33:06"
"Doris Day","Doris Day",1,1.00,"/artist/3ESG6pj6a0LvUKklENalT6","2026-05-05 08:33:18"
"Douglas Firs","Douglas Firs",1,1.00,"/artist/4bIqgUsS9Vgb5vQOPdaLr4","2026-05-05 08:33:30"
"Doves","Doves",1,1.00,"/artist/0LVrQUinPUBFvVD5pLqmWY","2026-05-05 08:33:40"
"Dumbo Gets Mad","Dumbo Gets Mad",1,1.00,"/artist/530iy3GzOTqWe9LEeiZuDO","2026-05-05 08:33:49"
"Dungen","Dungen",1,1.00,"/artist/5d7hcYqz8bVY6Kt3bhjd3d","2026-05-05 08:34:01"
"Durand Jones & The Indications","Durand Jones & The Indications",1,1.00,"/artist/6TVVIyd0fsRDGg6WzHKyTP","2026-05-05 08:34:20"
"Ea Othilde","Ea Othilde",1,1.00,"/artist/1pwHSyOp1lppPxASOG0J99","2026-05-05 08:34:32"
"Edvard Kravchuk","Edvard Kravchuk",1,1.00,"/artist/0LK67TfgE1O9GrBXJ9KLUe","2026-05-05 08:34:44"
"Edward Elgar","Edward Elgar",1,1.00,"/artist/430byzy0c5bPn5opiu0SRd","2026-05-05 08:34:54"
"Elbow","Elbow",1,1.00,"/artist/0TJB3EE2efClsYIDQ8V2Jk","2026-05-05 08:35:05"
"Eldbjørg Hemsing","Eldbjørg Hemsing",1,1.00,"/artist/4M2W6hcJWi6Nrd3XelpO3F","2026-05-05 08:35:18"
"Elder Island","Elder Island",1,1.00,"/artist/3EnbnmqrrvApHJs6FMvYik","2026-05-05 08:35:28"
"Elia","Elia",2,1.00,"/artist/5KbznS5SUZOb7skpdIO9J6","2026-05-05 08:35:39"
"Elk Darling","Elk Darling",1,1.00,"/artist/5s0rSAWzNeLzd1DmEtl33P","2026-05-05 08:35:50"
"Elsiane","Elsiane",1,1.00,"/artist/0gbJdZ0gqf7y9NnCbfV3vp","2026-05-05 08:36:02"
"Eluvium","Eluvium",1,1.00,"/artist/4QK3YJ6hzJdhJHE9q7kbVV","2026-05-05 08:36:12"
"Emma Hoet","Emma Hoet",1,1.00,"/artist/2XPd4InVAVACQRNm6DLIz9","2026-05-05 08:36:22"
"Endless Wellness","Endless Wellness",1,1.00,"/artist/0rpmnKQXbtbFVFcxxGZuKc","2026-05-05 08:36:33"
"Ennio Morricone","Ennio Morricone",1,1.00,"/artist/1nIUhcKHnK6iyumRyoV68C","2026-05-05 08:36:45"
"Ensemble Contraste","Ensemble Contraste",1,1.00,"/artist/0C92eU3SGPjZXev5y6S1x2","2026-05-05 08:36:57"
"Eric Rohr","Eric Rohr",1,1.00,"/artist/6dMeGFx1TMvbbrzaqp4fgg","2026-05-05 08:37:08"
"Erich Leinsdorf","Erich Leinsdorf",1,1.00,"/artist/4WAWF88jefCusmHVGL0qem","2026-05-05 08:37:18"
"Erland Cooper","Erland Cooper",1,1.00,"/artist/636k3cBTCgdZfXzCj7Cuaa","2026-05-05 08:37:33"
"Esther","Esthero",11,0.92,"/artist/1VmTG1NmumTwTIOGbew6gH","2026-05-05 08:37:44"
"Etienne de Crécy","Etienne de Crécy",1,1.00,"/artist/78YRbJhMi5kXKruiQGCJo7","2026-05-05 08:37:56"
"Eulalie","Eulalie",1,1.00,"/artist/100Y2Jfg2QtKEdO4xKyQj5","2026-05-05 08:38:06"
"Eurythmics","Eurythmics",1,1.00,"/artist/0NKDgy9j66h3DLnN8qu1bB","2026-05-05 08:38:18"
"Eydís Evensen","Eydís Evensen",1,1.00,"/artist/2SMBaAG61s9mtyJ0eeXSWx","2026-05-05 08:38:27"
"Ezy Schubert","Ezy Schubert",1,1.00,"/artist/7ad2MiM7RXK1KZGskLcXLI","2026-05-05 08:38:37"
"Fabe","Fabe",1,1.00,"/artist/5Jh4UFOCWwleD3kcd88xyh","2026-05-05 08:38:46"
"Far Caspian","Far Caspian",1,1.00,"/artist/0EzsHuJxUDcfqSqvoPhKG4","2026-05-05 08:38:59"
"Felhur x Andro","Felhur x Andro",1,1.00,"/artist/7pM6sUyReIMJOA88s1WqYT","2026-05-05 08:39:11"
"Fenne Lily","Fenne Lily",1,1.00,"/artist/7iPH2BRBF9wKa6ljxvdext","2026-05-05 08:39:20"
"Fernando Velázquez","Fernando Velázquez",1,1.00,"/artist/2pElTJJ5D3ziEPyvZsW5eF","2026-05-05 08:39:32"
"FIL BO RIVA","FIL BO RIVA",1,1.00,"/artist/3JE0uoggWwwYG6rSSJk0HN","2026-05-05 08:39:43"
"Fils Cara","Fils Cara",1,1.00,"/artist/42SznvyZNQon11BUfdPadN","2026-05-05 08:39:54"
"Fleur bleu·e","Fleur bleu·e",1,1.00,"/artist/3NEPnl6DyRUCYNs2qiyQEq","2026-05-05 08:40:07"
"Fleur de Peau","Fleur de Peau",1,1.00,"/artist/6EoKem2HNXbpL23782Daoi","2026-05-05 08:40:18"
"Flora Hibberd","Flora Hibberd",1,1.00,"/artist/5EFG7rqfVfdyaXiRZbRkpS","2026-05-05 08:40:29"
"Florent Pagny","Florent Pagny",1,1.00,"/artist/0g7hZVprd3orBpMrSLWeJ9","2026-05-05 08:40:39"
"Francis Cabrel","Francis Cabrel",1,1.00,"/artist/5uo5NwSONVNfvSHHMQrHAv","2026-05-05 08:40:50"
"Francis et ses peintres","Francis et ses peintres",1,1.00,"/artist/02MK0ifAeMMEsBlIybPABW","2026-05-05 08:41:01"
"Franz von Suppé","Franz von Suppé",1,1.00,"/artist/0Yy8ebHB2Ubh1xVIdddNYF","2026-05-05 08:41:11"
"Fruit Bats","Fruit Bats",1,1.00,"/artist/6Qm9stX6XO1a4c7BXQDDgc","2026-05-05 08:41:23"
"Fruit Juice","Fruit Juice",1,1.00,"/artist/6WS6HCAPFgC3vUOV7ZTrvl","2026-05-05 08:41:34"
"Frédéric Fromet","Frédéric Fromet",1,1.00,"/artist/0Jolon5uL9w1eJl1swIhEA","2026-05-05 08:41:46"
"Fréro Delavega","Fréro Delavega",1,1.00,"/artist/6bebPrkEPr2xEkiHP3QkNT","2026-05-05 08:41:58"
"Fujiya & Miyagi","Fujiya & Miyagi",1,1.00,"/artist/0j2MwhbFTvquOBhs3LeIfU","2026-05-05 08:42:08"
"Fuzzman","Fuzzman",1,1.00,"/artist/7IkYn6WzLsHHHlehXOqueZ","2026-05-05 08:42:18"
"Gab Bouchard","Gab Bouchard",1,1.00,"/artist/0J0nIuBa8qMlDnlS5QrkiP","2026-05-05 08:42:29"
"Gael Rakotondrabe","Gael Rakotondrabe",1,1.00,"/artist/1j2ghUU0uwyR55Zg60l6Xx","2026-05-05 08:42:40"
"Gang of Youths","Gang of Youths",1,1.00,"/artist/142YBUGmLWCJigFLzgguf8","2026-05-05 08:42:52"
"Garance","Garance",1,1.00,"/artist/6CR3p5u0DxesDo6cqqvwke","2026-05-05 08:43:03"
"Gavin Bryars","Gavin Bryars",1,1.00,"/artist/0lVWTWT1YdiNwuW9Gv3mUF","2026-05-05 08:43:14"
"Gavin Luke","Gavin Luke",1,1.00,"/artist/2bqAlaRiT91dCQ7KMGnP8i","2026-05-05 08:43:26"
"Gaz Coombes","Gaz Coombes",1,1.00,"/artist/6ho33Vt1tjZyf8m7Z5NZhx","2026-05-05 08:43:38"
"Gaël Faure","Gael Faure",1,0.90,"/artist/3KikThZktmDtUICg0EOKoJ","2026-05-05 08:43:50"
"Geoff Zanelli","Geoff Zanelli",1,1.00,"/artist/0X5jj08FYkWPtmzUhhjOJd","2026-05-05 08:44:02"
"George Michael","George Michael",1,1.00,"/artist/19ra5tSw0tWufvUp8GotLo","2026-05-05 08:44:12"
"George Szell","George Szell",1,1.00,"/artist/2CFaOiHKik5FgNGzZJ08sx","2026-05-05 08:44:23"
"Georges Brassens","Georges Brassens",1,1.00,"/artist/5UWyW1PcEM8coxeqg3RIHr","2026-05-05 08:44:35"
"Georges Moustaki","Georges Moustaki",1,1.00,"/artist/0P4PF0pSB8hBeL1keuPwdG","2026-05-05 08:44:47"
"Georgio","Georgio",1,1.00,"/artist/6Xc0KDqzw5u6EQLgdfeoKO","2026-05-05 08:44:58"
"Gigi Perez","Gigi Perez",1,1.00,"/artist/1iCnM8foFssWlPRLfAbIwo","2026-05-05 08:45:07"
"Grace Bergere","Grace Bergere",1,1.00,"/artist/5MPtrNTC4M5bMPkvSoe1AG","2026-05-05 08:45:19"
"Grace Mesa","Grace Mesa",1,1.00,"/artist/2Q8M2r5qb9MvIYm5Ri6eRA","2026-05-05 08:45:30"
"Gracie Abrams","Gracie Abrams",1,1.00,"/artist/4tuJ0bMpJh08umKkEXKUI5","2026-05-05 08:45:40"
"Gramatik","Gramatik",1,1.00,"/artist/179BpmLkQCRIoU68Co80f5","2026-05-05 08:45:52"
"Grand Eugène","Grand Eugène",1,1.00,"/artist/15HoDsauDCgOxvCFijHxdT","2026-05-05 08:46:02"
"Gregory Alan Isakov","Gregory Alan Isakov",1,1.00,"/artist/5sXaGoRLSpd7VeyZrLkKwt","2026-05-05 08:46:12"
"Groove Armada","Groove Armada",1,1.00,"/artist/67tgMwUfnmqzYsNAtnP6YJ","2026-05-05 08:46:24"
"Gunnar Flagstad","Gunnar Flagstad",1,1.00,"/artist/0ZKTIgMlo7wSP8b5VDayRB","2026-05-05 08:46:34"
"Gustav Mahler","Gustav Mahler",1,1.00,"/artist/2ANtgfhQkKpsW6EYSDqldz","2026-05-05 08:46:45"
"Guy Marchand","Guy Marchand",1,1.00,"/artist/5QBrJzbX0Xj4cEc7YjHjBU","2026-05-05 08:46:55"
"Géraldine Laurent","Géraldine Laurent",1,1.00,"/artist/4ZqOMiFK46aw6mKAbsrHPK","2026-05-05 08:47:06"
"Hayes & Y","Hayes & Y",1,1.00,"/artist/2mwysWD4hDBi2riMRaKwVg","2026-05-05 08:47:16"
"Heartworms","Heartworms",1,1.00,"/artist/1slmc4uUMOsz7J3pQqeWPP","2026-05-05 08:47:28"
"Henry Jackman","Henry Jackman",1,1.00,"/artist/5SEW04tNMMrOz7UFQJA6vz","2026-05-05 08:47:40"
"Hidden Orchestra","Hidden Orchestra",1,1.00,"/artist/4Rj2COYs5hQsw8rYIxSviz","2026-05-05 08:47:50"
"HIGHCELL","HIGHCELL",1,1.00,"/artist/1e8wkuHUhtMKbMg5kf6iTr","2026-05-05 08:48:00"
"Hird","Hird",1,1.00,"/artist/33nGdwPVGbU7cFuIh9OnTu","2026-05-05 08:48:10"
"HK et Les Saltimbanks","HK et Les Saltimbanks",1,1.00,"/artist/4xsIQBB0sTOoXpENHzse10","2026-05-05 08:48:23"
"Hollow Coves","Hollow Coves",1,1.00,"/artist/7IAFAOtc9kTYNTizhLSWM6","2026-05-05 08:54:09"
"Holly Walker","Holly Walker",1,1.00,"/artist/5vssQp6TyMHsx4mihKVAsC","2026-05-05 08:54:20"
"Holy Wave","Holy Wave",1,1.00,"/artist/0Cx9SrMKbfrkHvnqJLHq6b","2026-05-05 08:54:30"
"Howard Harper-Barnes","Howard Harper-Barnes",1,1.00,"/artist/447ceX8wMVdX94yevKZFDe","2026-05-05 08:54:41"
"Hugar","Hugar",1,1.00,"/artist/0bdJp8l3a1uJRKe2YaAcE9","2026-05-05 08:54:53"
"Hugo Barriol","Hugo Barriol",1,1.00,"/artist/714s2nd4G1chzdguyBIwvk","2026-05-05 08:55:05"
"Hugues Aufray","Hugues Aufray",1,1.00,"/artist/6TOGbRYHQizlf3adIyugol","2026-05-05 08:55:16"
"Hungarian State Orchestra","Hungarian State Orchestra",1,1.00,"/artist/2BTfUNZWQnbsRVQuPVAvHY","2026-05-05 08:55:28"
