#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
27,"Gunslinger","Natalie Bergman",109,7B,62,-,03:27,38,"","Gunslinger",2025-04-23,80,7,0,74,0,10,-5,F Major,4,3Jxg0rsL9ue8vssskTI7aN,US3JJ2501193
28,"Pour te plaire","Hélène Sio",114,4A,65,-,03:04,37,"pop française indie, pop française","Pour te plaire",2025-01-27,59,42,10,38,0,20,-8,F Minor,4,1btUUml5I5zktEtJlmaht1,FR6F32402830
29,"Trapped in a Club","SALES",100,11A,48,-,01:36,46,"bedroom pop","SALES LP",2016-04-20,78,86,0,76,0,10,-9,F#/G♭ Minor,4,3vv2AJ8b32vcf0uiwFtHyE,TCACN1687809
30,"Café","amiina",134,7A,39,-,03:25,36,"post-rock","Vofa",2016-11-25,71,93,91,46,0,10,-14,D Minor,3,7psadElapItTrwcfAkkS6n,ISV441607404
31,"Last Dance","Ouska",76,12B,21,-,03:12,36,"lo-fi beats, lo-fi, lo-fi hip-hop","Expressions",2021-03-17,71,89,95,23,0,10,-12,E Major,4,44vAvDe14Ee0pTEJvgOz5m,FR9Z62000571
32,"L'épreuve du feu","Maud Geffray",108,10B,38,-,01:25,19,"","L'épreuve du feu (Bande originale du film)",2025-08-13,58,91,95,7,0,40,-14,D Major,4,5JekY6RpOkFHwGWWTRO5lV,FR9W12539020
33,"Poussière","Laura Cahen",125,5A,25,-,02:57,36,"pop française, pop française indie","Une Fille",2021-05-07,41,88,5,26,0,0,-13,C Minor,3,13brJ6PTfrc7TpFvkP8klo,FRX852100380
34,"À l'arrière de la voiture","Clou",154,8B,67,-,04:06,33,"pop française, pop française indie, chanson","À l'évidence",2024-10-18,56,67,0,59,0,30,-9,C Major,4,5aSdlaElPZ67Jie7hFIzmD,FR79W2400590
35,"No Hard Feelings","Wolf Alice",127,10B,25,-,02:35,55,"indie","Blue Weekend",2021-06-04,68,81,30,65,0,10,-14,D Major,4,6eJaTm3sfYirbFpibBhnRO,GBK3W2001637
36,"Là je suis saoule","Clio",120,10B,30,-,02:21,45,"pop française indie, pop française","Carambolages",2023-10-27,60,92,0,24,0,10,-9,D Major,4,5ANoyx893PNQa5vpAuyvyv,FR9W12332059
37,"Celle que je crois","Hélène Sio",148,10A,70,-,03:26,34,"pop française indie, pop française","Celle que je crois",2025-03-21,68,45,0,85,10,60,-9,B Minor,4,35P72mvd7V0vVdwQFW9gb9,FR6F32405820
38,"La branche","Les Frères Jacques",99,9A,13,-,02:59,21,"chanson, variété française","La confiture",1973-00-00,51,80,0,24,0,30,-18,E Minor,4,3S6ujFHd21R7RtiwO2ZzYb,FRZ177310260
39,"If u know u know","Cari Cari",152,10B,52,-,03:23,38,"","One More Trip Around The Sun",2025-03-07,49,34,91,35,0,10,-10,D Major,4,6bwiWUHI5qKB9EzuluqHQP,DGA0Q2454780
40,"Deep Blue","Donkey Kid",111,2B,43,-,02:58,35,"indie allemande, neue deutsche welle","Deep Blue",2021-07-30,84,1,0,67,0,0,-11,F#/G♭ Major,4,1c6xkwwhc0T5JdU2oiTFkH,QMFME2126781
41,"Zez","Branko Galoić",157,7B,25,-,02:32,18,"","Zez",2024-10-01,69,98,90,69,0,10,-16,F Major,3,5SKHdd7eUbdUzDTpYT2ue7,QZWFL2422110
42,"I'll Be Your Friend","Hank",110,8B,74,-,03:22,21,"","These Days",2020-06-12,62,12,38,36,0,50,-8,C Major,4,0Enw0kKRv5usctzvsLgJwf,CH8092001433
43,"Floating","Slide",170,7B,76,-,03:42,36,"","Into Happiness",2019-03-08,50,13,3,50,0,30,-6,F Major,4,62h0y95YE1lm1cnKicqPuH,SE2XW1900101
44,"Le croquis","Phanee de Pool",83,11B,43,-,02:45,29,"chanson","Amstram",2020-08-21,56,83,0,84,20,10,-8,A Major,4,2HBHnpK9CtNCY78AekuSSM,CH3772000006
45,"Porcelaine","Bon Enfant",137,5A,66,-,03:22,26,"rock québécois, chanson québécoise","Diorama",2021-10-01,65,4,0,50,0,0,-8,C Minor,4,02kvxStDNETkmbPPxEm6kF,CARBL2100004
46,"La fille à la tête de dinde","Sexy Sushi,Rebeka Warrior,Mitch Silver",135,4B,45,-,03:03,37,"électroclash, pop française indie, pop française","Mauvaise foi",2010-01-01,89,59,64,97,0,0,-10,G#/A♭ Major,4,1SGRBkAxSfZRZrpAbc3r7x,FR6V81128873
47,"LES PASSANTES","BLOWSOM",106,12A,48,-,04:00,22,"pop française indie, pop française","LES PASSANTES",2025-06-13,66,27,0,46,0,10,-7,C♯/D♭ Minor,4,3dk69hKEv7q7UeEV3EJPoL,QM7282581745
48,"Grenadine","Vincent Delerm",75,5A,14,-,01:16,40,"chanson, pop française, variété française","Seize printemps (Bande originale du film)",2021-06-16,62,97,97,55,0,0,-26,C Minor,4,2rso25m7GZBGpliSBgbn2V,FR9W12028674
49,"001.5 Chemin Vert","Studio Bonaparte,Bonaparte",160,6A,26,-,03:25,46,"","From The Archives #001",2024-12-13,54,44,11,14,0,20,-14,G Minor,4,0iPDqpgkWjXmxVTWnCxt0Y,DGA0S2431513
50,"Begs me to dance","Agatha is Dead!",160,2A,51,-,02:31,48,"neue deutsche welle","Begs me to dance",2022-03-01,61,13,2,53,0,50,-12,D#/E♭ Minor,4,2wNxeAqaQdkLCmumgQ4enA,QZDA62265598
51,"We Win","Mel D,Dino Brandão",154,5B,59,-,03:24,23,"indie allemande","We Win",2025-05-21,73,13,0,85,0,0,-8,D#/E♭ Major,4,19R0SaszCHDibaUxhag39I,CH4932400008
52,"Memories of Summer Sunburns","MYXA,Iain S. Thomas",180,6B,63,-,04:03,43,"trip-hop, ","Mosca 蠅",2019-10-11,62,5,45,39,0,0,-8,A#/B♭ Major,4,1oZJpYVEhYQhQHTKKYSAUs,TCAEL1998874
53,"The Swirl Of Love","FYRS",121,11A,53,-,03:23,3,"pop baroque","The Swirl Of Love",2021-02-10,68,50,0,51,0,10,-8,F#/G♭ Minor,4,164oUGVvwPsiRvv0jVlQeY,QZFZ22100953
54,"Kara Toprak - Kenneth Bager's Radio Edit","islandman,Jacob Gurevitsch,Reinhard Vanbergen,Kenneth Bager",90,10B,44,-,03:37,26,"downtempo, house organique, électro swing","Kara Toprak",2020-09-18,72,80,26,82,10,10,-14,D Major,4,1W6bam6ERzqyP064EMwJnv,DKAZ72045801
55,"I Love You","Billylildove",104,5B,69,-,02:11,39,"","I Love You",2023-05-19,69,4,86,64,0,50,-7,D#/E♭ Major,4,6aEcZ6CGjeEJvaZn4oeIGS,QZK6M2385267
56,"Bubamara - Sunflower Version","Dr. Nelle Karajlic,Dejan Sparavalo,Vojislav Aralica",160,8B,65,-,03:09,17,"","Chat Noir Chat Blanc",1998-01-01,58,53,14,96,10,0,-6,C Major,4,57wyC2fKkej4pZxTamSjma,FRZ019870020
57,"I Love You","Fellini Félin",120,8B,23,-,03:10,34,"pop française indie","I Love You",2025-01-31,66,46,76,43,0,10,-17,C Major,4,50yM7bVSgzBxsK7VctCADK,TCAJE2526941
58,"Follow The Sun","Vanille",146,5A,60,-,02:37,28,"pop française, pop française indie","Follow The Sun",2023-07-07,67,70,7,30,0,10,-10,C Minor,4,1b1Y5DSCQ3M6DPu4Am6Pwo,FR8O22300120
59,"Le nom des fleurs","ESTL",127,9A,28,-,03:25,49,"","Le nom des fleurs",2025-09-03,64,84,0,19,0,10,-12,E Minor,4,3aTMleeOHwd89RFAJzkQsW,TCAJY2547833
60,"Cambodia","Orion",118,7A,76,-,03:41,56,"","Cambodia",2024-03-07,75,3,74,40,0,10,-7,D Minor,4,4RzkRM5Fa7qVNQvleqehe9,QZAKB2374741
61,"Tu Préfères Rebeka Warrior","ThelmA",140,8A,49,-,02:10,36,"","Tu Préfères Rebeka Warrior",2024-03-01,75,11,0,24,10,20,-13,A Minor,4,7muT5llI6LfwyzRPyJh1m8,TCAHZ2479054
62,"Love You Terribly","FYRS",125,6A,29,-,03:46,9,"pop baroque","A Big Dream",2023-04-07,65,73,43,11,0,0,-13,G Minor,4,3CV3Q3uu2d8Gh4GmuOeCfI,FR9MX2200007
63,"Sparadrap","Marie Jay",82,8A,52,-,02:36,39,"pop française, pop française indie","Sparadrap",2024-06-13,49,49,0,27,0,10,-8,A Minor,4,0VrlycJ92k89Cr6VTYhs3n,CH6542428308
64,"As Long As We Don't Lose Our Minds","Steaming Satellites",93,8B,50,-,03:18,33,"","Andromeda",2023-09-15,51,70,68,18,0,10,-9,C Major,4,5BEuIHdGXheV3G8wIqmYXJ,DEQX22300176
