#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1471,"Le nom des fleurs","ESTL",127,9A,28,2025-10-03,03:25,49,"","Le nom des fleurs",2025-09-03,64,84,0,19,0,10,-12,E Minor,4,3aTMleeOHwd89RFAJzkQsW,TCAJY2547833
1472,"Comme je t'ai aimé","Alice on the roof",110,11A,43,2025-10-03,05:13,21,"","Comme je t'ai aimé",2025-09-10,56,73,2,17,0,0,-11,F#/G♭ Minor,4,2Eek8Rh5baaDB3VBH2eqXR,FR79W2500740
1473,"Cinéma","BLOWSOM,Tao Mon Amour",130,12A,60,2025-10-10,03:00,26,"pop française indie, pop française, ","Cinéma",2022-07-18,72,15,0,70,0,20,-6,C♯/D♭ Minor,4,31CfJjcoplMlUpvbp5226g,UKRLR2000236
1474,"Fumée Noire","Don't Kill The Cow",153,8A,71,2025-10-10,03:27,20,"","Fumée Noire",2025-05-02,46,0,0,67,10,0,-7,A Minor,4,6TI4xujfCIIMqH6RmKifVr,CH6542523931
1475,"Forts","Adé",180,7B,91,2025-10-10,03:11,30,"pop française, variété française, pop française indie, chanson, house française","INSIDE OUT MVMT",2024-11-15,45,16,0,34,10,10,-4,F Major,4,5B6QmbcKgBgxH7hTbItDM8,FR79W2400910
1476,"One Year Ago","Sterling Grove,MUNYA",120,11A,35,2025-10-12,03:54,33,"bedroom pop","Parallel Lines",2017-12-15,86,13,73,22,0,0,-13,F#/G♭ Minor,4,77pbfW4TWaa7DFhp9TbJ8Y,CAU111705713
1477,"La Maritza","Sylvie Vartan",128,7A,34,2025-10-16,03:41,64,"pop française, chanson, variété française","La Maritza",1968-09-20,41,63,0,36,0,10,-12,D Minor,4,6AulpMGee5cq7pjXUQ3VSS,FRZ056800010
1478,"Virile","Suzane",121,10A,56,2025-10-16,02:38,69,"pop française, variété française, chanson, house française","Millénium",2025-09-26,55,48,0,38,0,0,-7,B Minor,4,0y2YZSSY6BtzP6L489fMrb,FRERA2500040
1479,"Ruelle sombre","Lisa Pariente",204,4B,44,2025-10-16,03:37,60,"pop française, variété française, chanson","Ruelle sombre",2025-10-01,32,78,0,46,0,10,-8,G#/A♭ Major,3,0Qi7yuj0w0gkbIqA388biT,FR6F32502570
1480,"Toxic Sunny Delight","Miel De Montagne,Kazy Lambist",110,5A,45,2025-10-16,03:46,27,"pop française indie, pop française, house française","Toxic Sunny Delight",2025-10-14,73,24,12,52,0,0,-12,C Minor,4,2xyn7wWJ7urittAvQXmPhI,FRIDO2513502
1481,"L'Amour Pour Bouclier","Elaine Kibaro",121,8A,43,2025-10-16,04:18,52,"","Pour L'amour",2019-07-30,75,39,47,77,0,10,-13,A Minor,4,3cqG9tjfHYIIthNGLcIMzx,GBJX32006077
1482,"VIANDE","Arthur Ely",134,6A,49,2025-10-24,02:55,13,"variété française, pop française","SAIGNANT",2025-10-17,76,8,1,82,0,20,-9,G Minor,4,1ffvGuyFoFGqrP92YrD1UN,FR8R22500270
1483,"Un parapluie pour deux","Romain Muller",127,2B,42,2025-10-26,03:27,45,"pop française, pop française indie","Parallèle",2021-04-21,45,54,83,6,0,10,-10,F#/G♭ Major,3,1r4PDAz9369ItIXufrgz34,FRR642000790
1484,"mes nuits à toi","Alma Rechtman",77,9B,24,2025-10-26,02:52,29,"","dans ma maison",2025-06-26,43,91,0,26,0,10,-14,G Major,4,2yCPDgKuOtM0KQcktQocb5,FR9W12533475
1485,"Ami-amant","Coline Rio",145,4B,49,2025-10-26,02:50,24,"pop française, chanson, pop française indie","MAISON",2025-10-10,63,81,0,51,0,0,-11,G#/A♭ Major,3,5Gi0xhdojn10dCix8s3gqf,FR9W12527680
1486,"JE NE SERAI JAMAIS.","Zélie",108,11B,53,2025-10-26,04:06,57,"pop française, pop française indie","JE NE SERAI JAMAIS.",2025-10-03,84,57,2,13,10,10,-11,A Major,4,7vdBAYpq0yZlntJ3zcWWHK,FR9W12551559
1487,"Villa d'été","Amouë,Kazy Lambist",113,1B,27,2025-10-26,03:22,22,"pop française indie, pop française","Villa d'été",2025-09-12,74,14,3,30,0,10,-12,B Major,4,5b9ynJg3oLzBSs087ubJzN,FR9W12542680
1488,"Sauvons-nous","Catastrophe",112,10A,53,2025-10-26,05:10,1,"pop française indie, pop française, house française","La proie et l'ombre",2025-09-12,57,26,2,20,0,10,-9,B Minor,4,4F86yjSTeNmaBZQ4lPfAO0,FR90Q2400855
1489,"J'espère (pas)","James Baker",170,5A,79,2025-10-26,03:31,26,"pop française, pop française indie","J'espère (pas)",2025-09-03,66,11,44,43,0,30,-7,C Minor,4,6SgsZvBsWVhmmWkfYkWKIg,QMDA72557901
1490,"Voyage interdit","Colt",135,2B,70,2025-10-27,03:18,30,"pop française","Saveur coeur abîmé",2025-06-06,79,41,0,52,10,10,-6,F#/G♭ Major,4,3hpszmewRT9GAbu4Uyi7ZH,BE9IC2400012
1491,"Allez viens !","Félix Radu",112,3B,52,2025-10-27,03:32,48,"pop française, variété française","Infini +3",2025-09-26,60,65,0,38,40,10,-10,C♯/D♭ Major,4,5RqbWsOWtZX7K98c6e0uuj,FR9W12437278
1492,"Parler, c'est déjà faire l'amour","Félix Radu",134,7A,49,2025-10-31,02:31,36,"pop française, variété française","Infini +3",2025-09-26,80,17,46,75,0,0,-8,D Minor,4,6yV2YNIxjSharM4IugT8NN,FR9W12537106
1493,"Mauvaises habitudes","La Belle Vie",117,7A,59,2025-10-31,02:25,31,"pop française indie, pop française, house française","Mauvaises habitudes",2021-10-27,79,46,0,24,0,10,-10,D Minor,4,0IyZkNGvUupC7qsNWERUbK,FRR642101351
1494,"La fourmi","Persephone",120,1A,29,2025-10-31,02:14,34,"","Fallait être là",2024-11-08,83,78,1,79,30,10,-14,G#/A♭ Minor,4,2dPw0VDCOBLYA2RNIQhcrb,QZWFJ2478464
1495,"T PAS SI BO","Myra",120,11B,56,2025-11-01,02:11,28,"r&b français, pop française","T PAS SI BO",2024-12-03,79,55,89,10,0,10,-7,A Major,4,2vA0ne4qtPRdQelgpOd33j,FR9DT2400770
1496,"Autant Brûler","PHELTO",99,6A,45,2025-11-01,02:59,27,"pop française","Autant Brûler",2024-07-26,55,73,0,27,0,10,-7,G Minor,4,2ii4a7RqXyZZv3Iht9wnAC,DGA062487035
1497,"Elénore","Palatine",88,12A,73,2025-11-05,02:41,25,"","Elénore",2021-09-10,52,26,77,74,0,10,-6,C♯/D♭ Minor,4,5bePKzDueyj0Tfo79Vz1gs,FR9W12114888
