Artist,Album
"Clea Vincent,Kim Giani",Tropi-cléa
"Clementine,Oscar Anton",minuit
Clothilde,French Swinging Mademoiselle
Clou,Génération(s) Eperdue(s)
Clément Froissart,La vague aux cheveux d'or
Clément Froissart,Peupleraie
Colette Magny,Melocoton
Colette Renard,Chansons érotiques: 69 trésors de la chanson coquine et grivoise
Coline Rio,Manteau chagrin
Coline Rio,On m'a dit
Coline Sicre,Yodelaouti
Collation,Collation
Collectif Métissé,Décennie
Colt,Lionnes
Constance Amiot,After Summer
Crookers,Kitsuné Maison Compilation 9: Petit Bateau Edition
Cyril Mokaiesh,Regarder passer les trains
Cécile Hercule,Michel
Cœur De Pirate,Perséides
DO not DO,les adultes parlent
Dalida,40 Succes En Or
Dalida,Hit Parade Best Of
Dalida,Les Annees Barclay
"Damien Sargue,Cyril Niccolaï,John Eyzen","Roméo Et Juliette, Les enfants de Vérone"
"Damien Sargue,Joy Esther","Roméo Et Juliette, Les enfants de Vérone"
"Daniel Balavoine,Nanette Workman",Starmania (Original Cast Recording) [Remastered in 2009]
Daniel Bélanger,Rêver Mieux
Daniel Guichard,La Tendresse
Daniel Norgren,Buck
Danyel Gerard,Butterfly
Daphné,La Fauve
Daphné,Treize chansons de Barbara
Dario Moreno,Best Of
Dave,20 Ans De Carrière
Dave,Dave
David Lafore,II
"David Shaw and The Beat,Jen Cardini",So it Goes (The Dance Versions)
De Flore,Météo astrale
"De la Suda,Lisa S.",À la nage
Debout Sur Le Zinc,Les promesses
Delgres,4:00 AM
Delgres,Mo Jodi
Delgres,Promis Le Ciel
Deluxe,Polishing Peanuts EP
Deluxe,The Deluxe Family Show
Deportivo,Parmi Eux
Detroit,L'ANGLE
Devi,Comme des grands
Devi,Mode d'emploi
Dick Annegarn,Sacré Géranium
"Dick Annegarn,Philippe Campion,Chiloo,Clou,Albin de la Simone,Vincent Delerm,Clément Ducol,Féfé,Foé,Frah,Nina Goern,Leeroy,Erza Muqoli,Yael Naim,Noé Preszow,Samaha,Vianney,Mathieu Boogaerts",Small Song
"Didier Barbelivien,Félix Gray",Best of Didier Barbelivien
Dimie Cat,Glam! - Single
Dimie Cat,ZigZag
"Dimitri From Paris,Dj Rocca Present Erodiscotique",Horse Meat Disco III
Dionysos,Western Sous La Neige
"Django Reinhardt,Quintette du Hot Club de France",War Clouds 1940
Dom La Nena,Tempo
"Dom La Nena,Rosemary Standley,Birds on a Wire",Ramages
Dooz Kawa,Narcozik #3
Doriand,Lieu-dit (Bonus Track Version)
Dub Silence,Sortie de Piste
Duluc,Voyage Astral [Extrait de la bande originale d'OVNI(s) Saison 2]
Dumas,Dumas
Dumas,Nos idéaux
ELISA ERKA,Dolce Vita
ELISA ERKA,La roue
ELISA ERKA,Le bruit du monde
"ELOI,Flavien Berger",DernierOrage.Alt
Eartha Kitt,Miss Kitt To You
Eddy de Pretto,CRASH CŒUR
"Ege,Rika Zaraï",Bir İzmirli'nin Not Defterinden
Eileen,Salut les copains
"El Gato Negro,Assane Mboup",Tigre qui pleure
Elaine Kibaro,Pour L'amour
Elephanz,Imperfection
Elia,Aurore
"Elli,Jacno",Boomerang
Emilie Marsh,Emilie Marsh
Emilie Simon,ES
Emilie Simon,Franky Knight
Emilie Simon,Mue
Emilie Simon,Versions
Emma Peters,Le temps passe (Rework)
Emma Peters,Traverser
Enrico Macias,Le meilleur d'Enrico Macias
Enzo Enzo,Deux
Eskelina,La verticale
Eskelina,Le matin du pélican
Essaie Pas,Nuit de noce
Etienne de Crécy ,Super Discount
"Etienne de Crécy ,Madeline Follin",You (feat. Madeline Follin)
Eulalie,JE DANSERAI
Evergreen,J'aime les filles
Fabio Viscogliosi,Camera
Fakear,Skyline
"Fakear,Deva Premal",Sauvage
Faul,Happy Endings
Faul,Something New
Felipecha,De fil en aiguille
Ferielle,des fleurs aux gens
Fernandel,125 succès essentiels et chansons rares
Fernandel,Voici Fernandel
Feu! Chatterton,Mille vagues
Film Noir,Vertiges (Men of Glory)
Flavien Berger,Contre-Temps
Flavien Berger,Dans cent ans
Flavien Berger,Mars balnéaire
Fleur bleu·e,L'été ivre
Fleur de Peau,Bam Bam
Fleur de Peau,Les oiseaux
Florence + The Machine,Between Two Lungs
Fox Sinclair,Dis Que Tu M'aimes
Foé,Mémo amoureux
Foé,Îl
France Gall,Best Of
France Gall,France Gall CD Story
France Gall,Évidemment (Version Deluxe)
Francis Lai,Un homme et une femme (Original Motion Picture Soundtrack)
Francis Lemarque,A Paris
Frank Alamo,Les Annees Barclay
"Franska Trion,Victor Furbacken",Rim & Ramsor
Fred Nevché,Emotional Data
Fredda,Le chant des murmures
Freedom Fry,L' Invitation
French 79,Angel
Frànçois & The Atlas Mountains,Royan
Félix Radu,Infini +3
GOLD ZEBRA,Gold Zebra
Gabi Hartmann,Always Seem to Get Things Wrong
Gabi Hartmann,Gabi Hartmann
Gabriel Yacoub,Je vois venir... (Enregistrement public)
Gael Faure,L'eau et la peau
Gael Faure,Regain
Galatée,Le Cœur
Gaël Faye,Lundi Méchant
Gaël Faye,Mauve Jacaranda
Gaël Faye,Rythmes et botanique
"Gaël Faye,Melissa Laveaux",Lundi Méchant
Gaëtan Roussel,Ginger
George Ka,Jolies personnes
George Ka,Saigon
George Walker,George Walker in Recital
Georges Delerue,Le Mepris
"Georgio,Yoa",Années Sauvages
Gerard Depardieu,Depardieu Chante Barbara
Gesaffelstein,Aleph
Gesaffelstein,Bromance #1 - Single
Gilbert Bécaud,Gilbert Becaud (1964-1966) [2011 Remastered] [Deluxe version]
Gilles Dor,Le disque Dor
Glauque,"Les gens passent, le temps reste"
Gloria,Toi ma peine
Gloria Lasso,Gloria Lasso
Gloria Lasso,Presentando a Gloria Lasso
Graeme Allwright,Graeme Allwright Live (Ses grands succès en concert)
"Grand Corps Malade,Ben Mazué,Gaël Faye",Éphémère
Grand Eugène,Grand Eugène
Granville,Les Voiles
Guylaine Tanguay,Classique Country
Gwendoline,Après c'est gobelet !
Gwendoline,C'est à moi ça
Gérard Blanc,Ailleurs pour un ailleurs...
Gérard Lenorman,French Classics
"H-Burns,Kevin Morby",Burns on the Wire
Halehan,Soleil
Harry Belafonte,An Evening with Belafonte
Helena,Hélé
Henri Salvador,l'indispensable
Her,Five Minutes
Hervé,La peur des mots
Hervé,Si bien du mal
Hervé Vilard,Capri C'Est Fini
Hervé Vilard,Chantons !
Hervé Vilard,Les 50 Plus Belles Chansons
Hippie Hourrah,Hippie Hourrah!
Holden,Pedrolira
Hollydays,Hollywood Bizarre
Housse de Racket,Forty Love (Bonus Remix Edition)
Hubert Lenoir,Darlène
I Monster,The Chill Out Room
"I Muvrini,MC Solaar",Umani
IAM,Anthologie IAM (1991-2004)
IAM,Saison 5
"Ichon,COLORS",La vie - A COLORS SHOW
Il Est Vilaine,Lumière noire 01 - EP
Iliona,Lâche-moi la main
Iliona,Si tu m'aimes demain
"Iliona,COLORS",Ça n’existe pas - A COLORS SHOW
Imany,Voodoo Cello
Institut,L'effet waouh des zones côtières
Interview,France chébran: French Boogie (1980 - 1985)
"Iris Jodorowsky,Nathan Dassas",La Dolce Vita
Irnini Mons,Une habitante touchée par une météorite
Isabelle Adjani,Isabelle Adjani
Isabelle Mayereau,Parcours
Isabelle Pierre,Le temps est bon
"Isolde Lasoen,Bertrand Burgalat",Oh Dear
Izïa,Citadelle
Izïa,La vague
Izïa,La vitesse
Izïa,So Much Trouble
"Izïa,Dominique A",Citadelle
"Jacopo Planet,mokina",Come and go
Jacques Brel,50 Plus Belles Chansons
Jacques Brel,Infiniment
Jacques Brel,J'Arrive (Vol.12)
Jacques Dutronc,"Et moi, et moi, et moi"
Jacques Duvall,Expert en désespoir
Jacques Higelin,BBH75
"Jacques Higelin,Brigitte Fontaine",13 chansons d'avant le deluge
James Baker,J'espère (pas)
Jane Birkin,Baby Alone In Babylone
Jane Birkin,Birkin/Gainsbourg: Le symphonique
Janie,Toujours des fleurs
Jansi,25 ans
"Jean Claude Brialy,Anna Karina",BOF Anna
Jean Ferrat,Deux enfants au soleil 1961
Jean Ferrat,Ma Môme & Autres Chansons
Jean Gabin,15 titres de Jean Gabin : Maintenant je sais
Jean Schultheis,Abracadabra
Jean-Luc Lahaye,Le Meilleur De Jean-Luc Lahaye
Jean-Pierre Ferland,Jaune (Version originale remasterisée)
Jeane Manson,Une Américaine à Paris
Jeanne Bonjour,Creep (Reprise)
Jeanne Cherhal,L'eau
Jeanne Côté,Suite pour personne
Jeanne Moreau,Chanson française
Jeanne Moreau,Jeanne Chante Jeanne
Jeanne Moreau,Le tourbillon de ma vie (Best Of 2017)
Jeanne Moreau,The Immortal Jeanne Moreau
