Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
Phanee de Pool,Phanee de Pool,100,Bâton vanille,Amstram,30,Algorythme - Amstram - Hologramme,/mnt/m/musiques/__Autres/Phanee de Pool/Amstram
The Pirouettes,The Ronettes,85,Carrément carrément,,0,,
Gael Faure,Flaural,71,Regain,,0,,
Juliette,Juliette,100,J'aime pas la chanson,Intégrale Juliette [Disc ] Deux Pianos [Live],39,Bijoux & Babioles - Intégrale Juliette [Disc 02] No Parano - Intégrale Juliette [Disc 12] La Premiere Cassette - Intégrale Juliette [Disc ] Assassins Sans Couteaux - Intégrale Juliette [Disc ] Deux Pianos [Live] - Intégrale Juliette [Disc ] En Concert Au Grand Rex 2005 - Intégrale Juliette [Disc ] Irrésistible - Intégrale Juliette [Disc ] Le Festin De Juliette - Intégrale Juliette [Disc ] Mutatis Mutandis - Intégrale Juliette [Disc ] Rimes Feminines - Intégrale [Disc 13] - Inédits et duos - Nour - ¿ Qué Tal - [Live],/mnt/m/musiques/__Autres/Juliette/Intégrale Juliette [Disc ] Deux Pianos [Live]
Junior Family,Fonky Family,64,Le top français des années 90 (100 titres),,0,,
Clou,Clou,100,Génération(s) Eperdue(s),À l'évidence,33,Orages - À l'évidence,/mnt/m/musiques/__Autres/Clou/À l'évidence
"Jeanne Moreau,Marguerite Duras",Jeanne Moreau,100,Chanson française,Les Chansons De Clarisse,63,12 Chansons - Album Collection [Disc 1] - Album Collection [Disc 2] - Jacques Prevert - Artistes Divers - Le Tourbillon - Les Chansons De Clarisse,/mnt/m/musiques/__Autres/Jeanne Moreau/Les Chansons De Clarisse
Christophe Rippert,Christophe Julien,74,Un amour de vacances,,0,,
"Dom La Nena,Rosemary Standley,Birds on a Wire",Nana Adjoa,67,Ramages,,0,,
Tim Dup,Dub Inc,57,Mélancolie heureuse - Nouvelle impression,,0,,
"Clea Vincent,Baptiste W. Hamon",Vincent Liben,80,"Non mais oui, vol. 2",,0,,
Rachid Taha,Rachid Taha,100,Je suis africain,Diwân,29,Bonjour - Diwan 2 - Diwân - Zoom,/mnt/m/musiques/__Autres/Rachid Taha/Diwân
Joe Dassin,Joe Dassin,100,Une Heure Avec Joe Dassin - Vol. 2,Les Deux Mondes De Joe Dassin (1967),57,Best Of L'Album Souvenir [Disc1] - Best Of L'Album Souvenir [Disc2] - Best Of L'Album Souvenir [Disc3] - Les Deux Mondes De Joe Dassin (1967),/mnt/m/musiques/__Autres/Joe Dassin/Les Deux Mondes De Joe Dassin (1967)
Hubert Lenoir,Noir Désir,61,Darlène,,0,,
George Ka,George Ka,100,Saigon,Par avance,25,Les Rebords du Monde - Par avance,/mnt/m/musiques/__Autres/George Ka/Par avance
Pierre Barouh,Pierre Bachelet,71,"Ça va, ça vient",,0,,
Têtes Raides,Tessa Rae,67,L'an demain,,0,,
George Walker,George Ka,73,George Walker in Recital,,0,,
"Jacques Higelin,Brigitte Fontaine",Jacques Higelin,100,13 chansons d'avant le deluge,Champagne pour tout le monde,35,Champagne pour tout le monde - Tombé Du Ciel,/mnt/m/musiques/__Autres/Jacques Higelin/Champagne pour tout le monde
Debout Sur Le Zinc,Vincent Delerm,56,Les promesses,,0,,
Arthur H,Arthur Satàn,70,Soleil dedans,,0,,
Jessé Garon',BARON.E,67,Lucky Dom Dom,,0,,
Frànçois & The Atlas Mountains,François & The Atlas Mountains,100,Royan,Piano Ombre,38,Slow Steps in the Snow - Banane Bleue - E Volo Love - Piano Ombre - Plaine Inondable - Solide Mirage,
I Monster,I Monster,100,The Chill Out Room,Neveroddoreven,25,Neveroddoreven - Neveroddoreven_Deluxe,/mnt/m/musiques/__Autres/I Monster/Neveroddoreven
Baccara,Baccara,100,Best Of,The Very Best Of,61,The Very Best Of,/mnt/m/musiques/__Autres/Baccara/The Very Best Of
Baccara,Baccara,100,Ultimate 70's Party,The Very Best Of,29,The Very Best Of,/mnt/m/musiques/__Autres/Baccara/The Very Best Of
Thierry Pastor,Thievery Corporation,65,Tubes Années 80 - Spécial Variété Française by Hotmixradio,,0,,
Zambla,Ambala,83,Zambla,,0,,
Ray Ventura Et Ses Collégiens,Chinese Restaurant,55,"Tout va très bien, Madame la Marquise",,0,,
Bob Azzam,Jazzamor,71,Les Annees Barclay,,0,,
Christophe,Christophe,100,Best of (Collector),Les Vestiges Du Chaos,21,Les Vestiges Du Chaos,/mnt/m/musiques/__Autres/Christophe/Les Vestiges Du Chaos
