Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
"Ludwig van Beethoven,Nikolaus Harnoncourt,Chamber Orchestra of Europe",Loredana Bertè,53,Beethoven: Symphonies Nos. 1 - 9,,0,,
"Antonio Vivaldi,Europa Galante,Fabio Biondi",Antonio Barret,62,Vivaldi: The Four Seasons,,0,,
"Gioachino Rossini,Zagreb Festival Orchestra,Michael Halasz",Michael Giacchino,59,Rossini: Overtures,,0,,
"Johannes Brahms,Inma Shara",Japanese Breakfast,61,La Isla De Los Sonidos: La Ciudad Sin Luz,,0,,
"Carl Orff,Orchester der Deutschen Oper Berlin,Eugen Jochum,Chor der Deutschen Oper Berlin",Ray Charles,60,Orff: Carmina Burana,,0,,
"Bedřich Smetana,Slovak Philharmonic,Kurt Redel",Haich Ber Na,67,Dvorak : Symphonie du nouveau monde smetana : La moldau,,0,,
"Maurice Ravel,Myung-Whun Chung,Orchestre Philharmonique de Radio France",Marie Reno,70,"Ravel : Concerto pour la main gauche, Boléro, Ma mère l'Oye, Le Tombeau de Couperin",,0,,
Arleta,Carla,73,Zitate Na Sas Po,,0,,
"Biagio Marini,Repicco",Melanie De Biasio,67,"Assassini, assassinati",,0,,
"Wolfgang Amadeus Mozart,Wiener Singverein,Wiener Philharmoniker,Herbert von Karajan",Wolfgang Tillmans,60,Mozart: Requiem,,0,,
Cigarettes After Sex,Cigarettes After Sex,100,Heavenly,Affection,35,Affection - Cigarettes After Sex - Crush - Cry - EP.1 - X's,/mnt/m/musiques/__Autres/Cigarettes After Sex/Affection
"Claude Debussy,Natacha Kudritskaya",Claude Petit,62,Nocturnes,,0,,
"Maurice Ravel,Daniel Barenboim,Chicago Symphony Orchestra",Marie Reno,70,"Ravel: Daphnis et Chloé Suite No. 2, Rapsodie espagnole, Pavane pour une infante défunte, Alborada del gracioso & Boléro",,0,,
"Franz Schubert,Andreas Staier,Daniel Sepec,Roel Dieltiens",Ezy Schubert,77,"Schubert: Piano trios, Op. 99 & 100",,0,,
"Richard Wagner,Daniel Barenboim,Chicago Symphony Orchestra",Shearwater,58,Wagner: Der Ring des Nibelungen [Excerpts],,0,,
"Georges Bizet,Maria Callas,Orchestre de l'Opéra National de Paris,Georges Prêtre,Orchestre du Théâtre National de l'Opéra Paris",Georges Brassens,69,Bizet: Carmen,,0,,
